POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1011,12047.0,12093.0,12192.0,12446.0,12782.0,12835.0,12976.0,13073.0,13186.0,13332.0
1012,13738.5,13862.0,14090.0,14286.0,14498.5,14661.5,14915.5,15195.0,15491.5,15809.0
1013,25560.0,26319.5,27213.0,27513.0,27713.5,27738.5,27814.0,28141.0,28046.0,28254.5
1014,569.5,595.5,619.0,630.0,650.5,565.5,761.5,770.5,804.0,1453.5
1015,21805.0,21903.0,22009.0,22166.0,22311.5,22402.5,22540.0,22676.5,22796.5,22882.0
1016,17006.0,17161.0,17324.0,17433.0,17615.0,17683.0,17805.0,18086.0,18261.0,18505.0
1017,19030.0,19224.0,19413.0,19569.0,19751.0,19884.0,20055.0,20249.0,20428.0,20640.0
1018,24389.0,24639.0,25253.0,25827.0,25938.0,25949.0,26200.0,26773.0,27104.0,27198.0
1019,14872.0,14910.5,14969.5,15226.0,15519.0,15490.0,15599.0,15949.5,16003.5,16243.5
1021,7517.0,7545.5,7570.5,7580.0,7590.0,7570.0,7585.0,7598.5,7856.5,7864.5
1022,1879.0,2008.0,2081.0,2190.0,2239.0,2341.0,2638.0,2734.0,3019.0,3039.0
1023,4847.0,4856.0,4872.0,4890.0,4903.0,4878.0,4886.0,4891.0,4908.0,4916.0
1024,12369.0,12384.0,12405.0,12579.0,12829.0,13018.0,13036.0,13192.0,13208.0,13328.0
1025,14157.5,14366.5,14558.5,14581.5,14623.5,14601.0,14623.0,14646.5,14664.5,14689.5
1026,491.5,499.5,507.5,509.5,518.5,458.5,459.5,461.5,464.5,466.0
1027,377.0,379.0,375.5,380.5,385.5,378.5,385.5,390.0,391.5,444.5
1028,548.0,551.0,568.5,578.0,581.0,535.5,539.5,546.5,572.0,562.5
1031,5831.5,6134.5,6314.5,6546.0,6628.0,6653.0,6776.0,6942.0,7626.0,7669.0
1032,5752.5,5806.5,5871.5,5903.5,5951.0,5940.0,5967.0,6229.0,6349.0,6415.0
1033,11879.0,11926.0,11972.0,12006.0,12058.5,12031.5,12078.5,12114.5,12535.5,12875.5
1034,12120.5,12284.5,12314.5,12748.5,13021.5,12986.5,13120.5,13212.5,13245.5,13288.5
1035,8816.5,8871.5,8882.5,8915.5,8978.5,8914.5,8938.5,9088.5,9142.5,9307.5
1036,616.0,653.0,659.0,664.0,736.0,772.0,826.0,924.0,1017.0,1056.5
1037,144.0,145.0,146.0,146.0,147.0,141.0,142.0,140.0,141.0,117.5
1041,214.0,218.0,220.0,234.0,234.0,227.0,231.0,236.0,240.0,244.0
1042,378.0,380.0,380.0,387.0,387.0,379.0,381.0,381.0,381.0,384.0
1043,497.5,525.5,512.0,527.5,544.0,541.5,569.0,597.0,627.0,900.0
1045,218.0,238.5,198.5,201.0,203.5,186.0,191.0,191.5,192.0,198.0
1046,766.5,857.5,876.0,944.5,1000.5,1045.0,1054.0,1121.5,1105.0,1171.5
1047,252.5,275.0,278.5,277.0,281.5,254.0,259.0,261.0,291.0,295.0
1051,17213.5,17527.5,17873.0,17900.0,18033.0,18042.0,18476.0,18561.5,18588.0,18599.0
1052,15479.0,15673.0,15815.0,15964.0,16106.0,16278.0,16358.0,16415.0,16475.0,16512.0
1053,22117.0,22319.0,22505.0,22639.0,22927.0,23064.0,23359.0,23852.0,24168.0,24509.0
1054,20891.5,21106.5,21499.5,21603.5,21858.5,21975.0,22195.0,22504.5,22675.5,22948.5
1055,22273.5,22854.5,22883.5,23198.5,23471.5,23536.0,23624.0,23815.5,24360.5,25234.5
1056,21140.0,21239.0,21400.0,21428.0,21510.0,21522.0,21555.0,21615.0,21683.0,21754.0
1057,19611.0,19719.0,19758.0,20282.0,20346.0,20350.0,20391.0,20460.0,20549.0,20614.0
1058,16500.0,16794.0,17124.0,17160.0,17280.0,17392.0,17430.0,17510.0,17606.0,17675.0
1059,7213.0,7231.0,7259.0,7278.0,7314.0,7301.0,7321.0,7387.0,7431.0,7537.0
1060,6845.5,6863.5,6876.5,6895.5,6907.5,6907.5,6919.5,6930.0,6936.0,6941.0
1061,8816.5,9044.5,9460.5,9745.5,10094.5,10322.5,10472.5,10945.0,11040.0,11324.0
1062,7796.0,8018.0,8145.0,8269.0,8419.0,8655.0,8742.0,9078.0,9892.0,10691.0
1063,11921.0,11982.0,11992.0,12110.0,12129.0,12187.0,12236.0,12249.0,12441.0,12669.0
1064,15435.0,15656.0,15668.0,15678.0,15713.0,15749.0,15763.0,15771.0,16159.0,16199.0
1065,10379.0,10439.0,10499.0,10513.0,10545.0,10532.0,10553.0,10631.0,10815.0,10837.0
1066,14698.0,14863.0,15100.0,15168.0,15206.0,15110.0,15462.0,15510.0,15911.0,16084.0
1067,15710.0,16649.0,16928.0,17067.0,17123.0,17174.0,17199.0,17256.0,17416.0,17528.0
1068,16231.5,16412.5,16419.5,16432.5,16624.5,16603.5,16873.5,16961.5,17157.5,17198.5
1069,22286.5,23222.5,23405.5,23515.5,23720.5,23844.5,24066.5,24121.5,24146.5,24157.5
1071,15221.0,15345.0,15423.0,15512.0,15574.0,15590.0,15700.0,15843.0,15992.0,16125.0
1072,19874.5,19981.5,20173.5,20424.5,20606.5,20878.5,20992.5,21141.5,21359.0,21476.0
1073,17977.5,18040.5,18171.5,18325.5,18401.5,18517.5,18585.5,18658.5,18805.0,18953.0
1074,10350.0,10399.0,10465.0,10493.0,10557.0,10617.0,10693.0,10742.0,10844.0,10991.0
1075,12437.0,12479.0,12521.0,12588.0,12677.0,12718.0,12782.0,12889.0,12996.0,13228.0
1076,12084.0,12095.0,12123.0,12168.0,12200.0,12229.0,12262.0,12293.0,12662.0,12701.0
1077,9755.0,9811.0,9847.0,9875.0,9935.0,9942.0,9990.0,10060.0,10097.0,10137.0
1078,16741.0,16766.0,16792.0,16833.0,16885.0,16872.0,16917.0,17088.0,17182.0,17235.0
1079,16660.0,16785.0,16804.0,16850.0,16971.0,16957.0,16987.0,17201.0,17408.0,17547.0
1081,5752.5,5998.0,6114.0,6201.0,6240.5,6204.0,6239.5,6267.0,6303.0,6329.0
1082,11842.5,11958.0,11982.0,12111.0,12141.5,12190.0,12230.5,12527.0,12838.0,13271.0
1083,7684.0,7701.0,7715.0,7754.0,7791.0,7781.0,7792.0,7810.0,7874.0,7884.0
1086,1238.5,1629.5,1820.5,1941.5,1959.5,1952.5,1959.5,1973.5,1978.5,2001.5
1087,5620.5,6541.5,6911.0,7265.0,7336.0,7359.5,7416.0,7739.0,8241.5,8395.0
1091,18520.0,18824.0,19004.5,19105.5,19896.5,20399.0,20917.5,21175.5,21295.0,21867.5
1092,9973.0,10045.5,10139.5,10193.5,10251.5,10335.5,10724.5,10815.5,10874.5,10906.5
1093,10494.0,10688.5,10753.5,10805.5,10896.5,11689.5,11813.5,12348.5,12789.5,12968.5
1094,15154.0,15547.0,15877.0,16057.0,16206.0,16277.0,16370.0,16750.0,17208.0,17318.0
