POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1011,6806.0,6839.0,6896.0,7042.0,7279.0,7273.0,7334.0,7389.0,7454.0,7548.0
1012,7725.5,7815.0,7950.0,8060.0,8182.5,8223.5,8379.5,8539.0,8724.5,8905.0
1013,14208.0,14665.5,15162.0,15329.0,15503.5,15495.5,15537.0,15805.5,15674.0,15842.5
1014,388.0,410.0,428.5,437.0,454.0,398.0,591.0,616.5,643.5,1290.5
1015,11842.5,11919.5,11974.5,12068.0,12147.0,12188.0,12280.5,12359.0,12430.0,12475.0
1016,9162.0,9241.0,9330.0,9393.0,9493.0,9514.0,9579.0,9799.0,9899.0,10033.0
1017,10393.0,10515.0,10629.0,10722.0,10832.0,10897.0,10992.0,11101.0,11213.0,11343.0
1018,12970.0,13125.0,13459.0,13768.0,13844.0,13822.0,13962.0,14259.0,14441.0,14502.0
1019,9645.0,9671.0,9712.0,9857.0,10023.0,9970.0,10027.0,10205.0,10230.0,10466.0
1021,3883.0,3899.0,3912.0,3918.0,3927.0,3904.0,3915.0,3923.0,4055.0,4061.0
1022,1017.0,1088.0,1127.0,1183.0,1212.0,1259.0,1473.0,1520.0,1668.0,1685.0
1023,2536.0,2543.0,2554.0,2570.0,2583.0,2555.0,2561.0,2565.0,2575.0,2583.0
1024,6706.0,6718.0,6732.0,6905.0,7153.0,7336.0,7353.0,7508.0,7522.0,7638.0
1025,7638.5,7793.5,7898.5,7917.5,7955.5,7923.0,7942.0,7957.5,7973.5,7990.5
1026,298.0,303.0,311.0,312.0,321.0,260.0,260.0,262.5,265.5,266.5
1027,230.5,232.0,227.5,231.0,235.0,228.0,232.0,234.0,235.5,264.5
1028,337.0,339.5,355.0,361.0,364.0,315.5,317.5,321.5,344.0,339.0
1031,3052.0,3239.0,3334.0,3458.5,3507.5,3512.5,3621.5,3769.5,4249.5,4280.5
1032,2977.0,3004.0,3039.0,3056.0,3084.5,3070.5,3095.5,3352.5,3470.5,3528.5
1033,6259.0,6298.0,6332.0,6353.0,6395.5,6360.5,6405.5,6427.5,6837.5,7179.5
1034,6518.0,6680.0,6709.0,7140.0,7405.0,7370.0,7500.0,7592.0,7625.0,7667.0
1035,4576.0,4609.0,4618.0,4646.0,4693.0,4628.0,4644.0,4724.0,4756.0,4842.0
1036,313.0,335.0,338.0,343.0,415.0,451.0,505.0,602.0,695.0,720.5
1037,79.0,80.0,81.0,81.0,82.0,76.0,77.0,75.0,76.0,62.5
