POSTCODE,LON,LAT
"1011","688,712,729,744,753,756,752,749,744,719,691,699,709,696,684,680,656,668,680,684","675,670,656,636,626,610,589,591,553,550,537,554,560,574,607,621,660,660,664,668"
"1012","656,646,627,615,617,625,648,663,646,658,671,678,691,699,709,696,683","660,664,663,651,626,596,558,537,518,516,526,525,537,554,561,574,616"
"1013","671,676,668,659,655,636,578,524,497,485,440,402,432,466,481,497,511,540,560,548,548,578,587,582,601,618,627,648,662,646,659","524,522,492,458,434,401,334,273,247,239,307,357,381,405,420,440,456,460,476,479,495,492,497,508,525,542,549,557,537,516,515"
"1014","549,546,561,540,513,496,480,447,401,386,375,377","495,477,475,459,455,438,419,390,357,377,403,499"
"1015","546,572,569,576,582,626,648,625,597,593,548","601,536,528,525,507,548,558,597,581,589,605"
"1016","566,607,607,615,618,623,597,593,548,545,541,548,554,556","683,663,654,650,623,597,579,587,602,610,619,642,652,668"
"1017","568,566,606,606,614,625,643,656,671,680,688,708,686,678,642,622,613,595,582,577","689,681,662,654,651,660,663,660,660,663,674,737,740,742,741,737,725,709,709,695"
"1018","707,717,728,739,745,765,780,793,803,830,856,863,866,859,843,825,788,768,745,749,752,757,752,740,711,688","734,729,724,723,716,712,707,697,695,670,668,651,634,611,597,589,581,575,573,589,587,607,626,640,668,674"
"1019","856,955,964,985,992,993,988,980,972,972,977,996,972,944,924,892,868,834,806,744,746,766,786,803,817,831,842,852,860,867,863","667,667,663,660,655,643,628,607,581,562,548,528,525,524,524,525,526,534,536,552,573,574,578,583,586,591,595,603,611,631,651"
"1021","692,713,741,773,805,833,870,852,782,761,744,713","540,546,552,544,536,534,525,503,459,483,499,520"
"1022","924,927,899,898,867,866,821,815,821,823,817,829,863,860,868,878,898,871,848,845,823,810,809,802,802,807,798,782,850,871","522,499,487,462,450,443,448,423,422,414,410,390,350,340,328,328,303,287,316,333,325,361,373,377,387,397,426,459,503,525"
"1023","1059,1070,1072,1068,1062,1066,1053,1018,974,970,972,966,904,879,892,895,900,899,900,927,924,958,996,1017,1031,1047","554,538,520,504,488,485,459,472,488,485,456,446,415,430,440,448,454,463,488,499,522,522,526,536,516,533"
"1024","969,1008,1027,1051,977,970,973,966,919,912,931,940","342,385,411,459,488,485,456,446,422,411,387,390"
"1025","898,933,966,940,931,913,920,903,880,892,895,900,898,868,868,842,821,814,821,823,817,827,829,863,860,868,880","303,317,344,390,387,410,422,414,430,439,448,455,460,451,444,446,446,423,422,414,410,390,391,349,340,328,329"
"1026","1062,1151,1164,1152,1173,1186,1197,1210,1222,1230,1247,1249,1267,1274,1291,1318,1373,1371,1359,1340,1331,1322,1314,1304,1307,1296,1295,1306,1308,1308,1303,1306,1298,1300,1300,1284,1280,1271,1242,1234,1226,1216,1202,1192,1178,1165,1155,1147,1136,1125,1117,1090,1061,1068,1072,1070","487,448,472,477,508,505,507,500,501,496,499,483,477,480,471,473,472,480,483,492,509,513,509,512,519,522,530,530,540,564,572,581,587,597,607,615,619,607,595,565,562,568,570,575,573,581,594,601,605,607,589,552,556,541,521,503"
"1027","1064,1151,1141,1137,1136,1120,1116,1092,1192,1192,1201,1239,1237,1245,1238,1235,1184,1185,1176,1165,1136,1107,1082,996,981,974,969,969,958,951,929,923,902,876,854,847,863,891,920,940,966,990,1011,1030","484,448,405,405,381,363,367,338,223,216,210,199,185,175,157,140,138,149,159,162,125,146,158,167,167,155,158,170,170,173,232,240,248,259,261,271,281,297,309,318,338,361,386,414"
"1028","1458,1459,1449,1443,1432,1418,1405,1390,1371,1356,1340,1238,1233,1239,1245,1238,1238,1202,1192,1192,1092,1114,1119,1136,1136,1141,1152,1163,1153,1172,1188,1197,1209,1220,1229,1246,1249,1267,1274,1290,1319,1372,1381,1388,1389,1393,1398,1408,1417,1425,1436,1443,1450","326,216,212,202,202,228,228,194,189,179,197,138,138,158,171,183,197,208,216,224,338,366,362,382,406,406,448,471,477,507,505,507,499,501,496,499,483,477,479,469,475,472,443,428,411,395,379,366,361,346,342,329,326"
"1026","1310,1315,1315,1311,1306,1303,1303,1304","627,622,617,613,614,618,623,626"
"1031","692,700,712,733,761,782,748,739,659,635,655,658,667,676","537,530,520,507,483,458,434,432,382,402,432,459,488,522"
"1032","782,752,746,736,659,683,689,696,696,703,704,723,736,766,780,793,795,802,802,805,801,792","458,438,434,430,382,353,357,356,352,348,337,349,358,361,363,371,369,377,383,395,419,444"
"1033","636,659,683,693,686,678,696,703,715,721,723,713,701,684,672,663,659,654,619,611,603,595,562,545,545,534,519,507,484,511,545,574,610","401,382,353,330,325,321,260,269,285,297,288,273,261,240,228,220,223,216,223,218,197,178,190,211,220,220,206,202,239,259,295,329,369"
"1034","799,810,810,823,845,848,870,847,852,773,762,758,752,752,748,742,736,728,724,716,703,692,682,695,696,704,704,723,735,754,770,788","377,371,360,324,332,316,288,271,260,199,201,215,234,255,265,276,285,291,301,310,322,329,353,358,350,348,337,350,357,358,361,366"
"1035","761,739,704,675,644,590,591,542,517,508,524,534,544,546,561,594,605,610,617,630,651,658,663,670,683,696,709,723,728,739,752,753","202,185,159,142,137,136,144,165,183,201,210,220,220,207,190,177,204,218,224,220,216,223,220,227,240,255,269,285,292,280,257,231"
"1036","689,679,695,715,727,719,699,696","328,320,260,285,291,307,324,328"
"1037","484,444,459,463,450,450,462,480,479,499,513,520,532,540,545,552,558,568,582,590,590,566,553,540,529,517","238,217,188,177,152,140,124,100,95,87,90,95,95,102,114,124,129,132,131,136,145,153,159,165,174,182"
"1041","484,444,358,273,267,271,264,279,311,356,402,439","240,216,189,172,200,213,227,269,295,330,358,306"
"1042","375,367,348,341,309,291,246,246,190,275,267,269,264,279,296,324,354,401,387,379","408,411,398,403,400,407,399,348,154,172,197,215,225,268,284,306,329,356,375,391"
"1043","378,374,366,348,340,312,292,247,185,177,154,129,120,102,100,148,148,162,167,169,161,158,100,100,105,110,112","498,408,410,398,402,400,406,397,398,406,348,347,355,360,416,418,416,417,426,439,438,461,459,467,474,475,503"
"1044","248,247,190,193,167,153,128,137,136,129,155,177,187","397,348,156,169,222,221,233,254,332,347,347,405,397"
"1045","42,190,194,166,152,129,137,136,129,118,102,42","121,153,169,222,221,235,254,333,347,357,365,365"
"1046","42,101,100,148,148,161,169,162,158,100,100,104,108,112,40","363,364,413,417,415,417,436,439,460,458,465,474,476,502,504"
"1051","578,468,481,485,501,524,532,537,538","493,497,568,591,614,569,552,548,536"
"1052","489,495,542,545,550,570,569,574,586,578,538,538,530","635,636,619,606,592,542,527,526,497,494,535,545,553"
"1053","448,557,556,548,540,497,488","710,667,651,641,620,634,634"
"1054","427,492,542,548,556,566,582,577,568,564,556,448","759,735,718,724,720,720,707,695,689,679,666,710"
"1055","480,418,389,370,375,377,377,466","567,577,587,588,565,551,499,498"
"1056","488,500,485,479,418,389,370,362,389,418,446,460,472","633,613,592,567,576,587,588,641,641,632,625,621,625"
"1057","458,450,406,403,362,361,389,458,488","691,686,694,686,687,641,641,622,633"
"1058","428,456,450,405,403,364,365,402,403,420","757,689,686,694,687,686,800,800,804,805"
"1059","418,402,402,364,353,353,355,360,384,385,390,394,394,402,413","805,804,800,800,837,867,911,922,926,922,922,903,881,859,837"
"1060","79,102,83,73,63,47,40,40","885,844,787,791,788,812,806,857"
"1061","362,362,367,375,378,377,349,346,333,322,317,317,341","686,641,598,561,538,500,499,520,576,618,646,687,687"
"1062","362,341,325,318,317,317,317,316,316,362,366,353,354,357,360,366","923,916,901,882,834,793,753,712,686,686,799,837,870,895,914,924"
"1063","333,261,261,244,240,199,198,197,348,344","576,557,552,548,557,549,538,502,499,527"
"1064","317,317,322,332,261,261,246,243,198,198,185,174,169,162,177,183,193,226","686,646,621,577,556,552,551,559,547,538,539,609,621,628,683,694,715,686"
"1065","193,201,222,231,232,228,240,316,314,227","715,742,734,739,756,759,797,799,689,686"
"1066","383,387,379,369,356,341,324,304,277,261,248,238,230,219,202,162,163,117,101,98,80,102,116,148,190,318,317,317,317,325,338,357","923,940,951,962,971,976,979,981,983,983,988,995,1005,1016,1004,977,975,943,914,916,883,845,825,813,797,799,840,862,883,898,912,922"
