POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1011,4248.0,4231.0,4184.0,4270.0,4181.0,4321.0,3909.0,3824.0,3806.0,3834.0
1012,9288.0,9236.0,9089.0,9007.0,8973.0,9034.0,8729.0,8682.0,8607.0,8606.0
1013,3158.0,3212.0,3247.0,3279.0,3323.0,3417.0,3329.0,3291.0,3267.0,3257.0
1014,11808.0,11123.0,11259.0,11141.0,11113.0,11522.0,8716.0,8233.0,8239.0,7020.0
1015,3227.0,3212.0,3155.0,3171.0,3165.0,3242.0,3101.0,3034.0,2971.0,2926.0
1016,4239.0,4338.0,4189.0,4193.0,4229.0,4222.0,4110.0,4042.0,4004.0,3917.0
1017,6487.0,6476.0,6398.0,6453.0,6402.0,6418.0,6251.0,6197.0,6129.0,6078.0
1018,3328.0,3314.0,3299.0,3213.0,3274.0,3286.0,3154.0,3109.0,3092.0,2951.0
1019,4181.0,4162.0,4227.0,4168.0,4051.0,4065.0,3949.0,3934.0,3885.0,3800.0
1021,3102.0,3102.0,3118.0,3101.0,3187.0,3093.0,3033.0,2962.0,2970.0,2829.0
1022,4019.0,3343.0,3543.0,3377.0,3349.0,3492.0,3549.0,3685.0,3736.0,3690.0
1023,3128.0,3164.0,3183.0,3124.0,3109.0,3031.0,2946.0,2916.0,2881.0,2863.0
1024,2833.0,2861.0,2892.0,2843.0,2947.0,3002.0,2948.0,3036.0,2992.0,2987.0
1025,3588.0,3579.0,3619.0,3650.0,3596.0,3534.0,3466.0,3339.0,3262.0,3215.0
1026,6127.0,5547.0,5660.0,5537.0,5627.0,5963.0,5868.0,5982.0,5896.0,6127.0
1027,6515.0,6779.0,6678.0,6234.0,6312.0,7445.0,7167.0,7106.0,7137.0,7302.0
1028,6400.0,6315.0,6563.0,6426.0,6522.0,6949.0,6421.0,6575.0,6531.0,6438.0
1031,3471.0,3543.0,3439.0,3685.0,3740.0,3756.0,3680.0,3741.0,3958.0,3841.0
1032,4133.0,4089.0,4101.0,4040.0,4254.0,4372.0,4253.0,4431.0,4341.0,4191.0
1033,3785.0,3773.0,3865.0,3910.0,3972.0,3904.0,3831.0,3864.0,3775.0,3812.0
1034,2997.0,2988.0,3129.0,2960.0,3083.0,2983.0,2948.0,2896.0,2840.0,2816.0
1035,3897.0,3822.0,3808.0,3723.0,3741.0,3711.0,3659.0,3539.0,3473.0,3447.0
1036,2757.0,3511.0,3537.0,3644.0,3731.0,3779.0,3639.0,3924.0,4007.0,3916.0
1037,4844.0,4278.0,4167.0,3941.0,3824.0,4010.0,4122.0,4029.0,3690.0,3732.0
1041,16396.0,16557.0,17393.0,17759.0,15607.0,16697.0,16009.0,16124.0,15962.0,16389.0
1042,16504.0,15912.0,16018.0,16557.0,16357.0,17282.0,16314.0,16446.0,15914.0,16665.0
1043,12981.0,13316.0,12632.0,12209.0,13231.0,13780.0,13338.0,14714.0,13925.0,9846.0
1045,11807.0,11835.0,11921.0,11842.0,12368.0,13038.0,12137.0,12910.0,12382.0,13453.0
1046,14224.0,12927.0,12787.0,12541.0,12443.0,12439.0,11911.0,11622.0,11698.0,11607.0
1047,7093.0,7388.0,7152.0,7694.0,8377.0,9556.0,10153.0,10327.0,10579.0,10511.0
1051,2855.0,2799.0,2762.0,2773.0,2783.0,2704.0,2714.0,2666.0,2619.0,2604.0
1052,2496.0,2507.0,2586.0,2482.0,2543.0,2660.0,2496.0,2452.0,2422.0,2387.0
1053,2760.0,2771.0,2839.0,2752.0,2777.0,2818.0,2718.0,2740.0,2713.0,2726.0
1054,3416.0,3320.0,3391.0,3306.0,3377.0,3411.0,3225.0,3200.0,3133.0,3111.0
1055,2546.0,2571.0,2605.0,2619.0,2666.0,2695.0,2514.0,2481.0,2449.0,2448.0
