POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1011,1697.0,1644.0,1609.0,1599.0,1550.0,1549.0,1480.0,1449.0,1438.0,1449.0
1012,2963.0,2828.0,2764.0,2718.0,2686.0,2675.0,2605.0,2580.0,2587.0,2514.0
1013,1394.0,1337.0,1326.0,1304.0,1281.0,1278.0,1231.0,1225.0,1212.0,1224.0
1014,6657.0,6914.0,6752.0,6552.0,6301.0,5563.0,6017.0,6989.0,6083.0,6198.0
1015,1576.0,1537.0,1511.0,1478.0,1450.0,1445.0,1403.0,1364.0,1365.0,1343.0
1016,1816.0,1774.0,1777.0,1748.0,1701.0,1715.0,1624.0,1596.0,1571.0,1578.0
1017,2456.0,2412.0,2402.0,2330.0,2282.0,2271.0,2234.0,2194.0,2180.0,2176.0
1018,1393.0,1340.0,1342.0,1297.0,1274.0,1277.0,1236.0,1218.0,1201.0,1178.0
1019,1101.0,1041.0,1030.0,992.0,1003.0,983.0,943.0,949.0,936.0,915.0
1021,1448.0,1417.0,1395.0,1372.0,1350.0,1334.0,1293.0,1276.0,1271.0,1245.0
1022,1645.0,1615.0,1563.0,1468.0,1505.0,1504.0,1436.0,1389.0,1387.0,1320.0
1023,1741.0,1698.0,1648.0,1628.0,1535.0,1537.0,1468.0,1455.0,1438.0,1444.0
1024,1223.0,1185.0,1167.0,1151.0,1123.0,1110.0,1081.0,1078.0,1074.0,1071.0
1025,1005.0,1009.0,1017.0,978.0,973.0,958.0,940.0,928.0,922.0,932.0
1026,2754.0,2679.0,2674.0,2561.0,2629.0,2461.0,2671.0,2371.0,2261.0,2317.0
1027,2699.0,2571.0,2582.0,2500.0,2418.0,2379.0,2307.0,2444.0,2463.0,2520.0
1028,2896.0,2859.0,2871.0,2744.0,2618.0,2635.0,2739.0,2471.0,2523.0,2325.0
1031,1593.0,1545.0,1541.0,1506.0,1401.0,1412.0,1343.0,1282.0,1293.0,1292.0
1032,1897.0,1902.0,1869.0,1836.0,1804.0,1802.0,1759.0,1717.0,1690.0,1720.0
1033,1522.0,1493.0,1505.0,1462.0,1464.0,1445.0,1385.0,1376.0,1365.0,1345.0
1034,1388.0,1272.0,1225.0,1176.0,1172.0,1165.0,1167.0,1129.0,1158.0,1169.0
1035,1526.0,1513.0,1524.0,1453.0,1443.0,1442.0,1406.0,1377.0,1381.0,1371.0
1036,1247.0,1055.0,1065.0,1083.0,1063.0,1055.0,1032.0,977.0,987.0,1047.0
1037,1991.0,1896.0,1899.0,1827.0,1802.0,1803.0,1780.0,1668.0,1655.0,1720.0
1041,4233.0,4182.0,4246.0,4360.0,4333.0,4349.0,4310.0,4119.0,4744.0,5226.0
1042,6210.0,5613.0,5469.0,5456.0,5553.0,5134.0,5183.0,5034.0,4871.0,5117.0
1043,7063.0,7155.0,7142.0,6492.0,6095.0,6651.0,6337.0,5939.0,5543.0,5736.0
1044,0,0,0,0,0,0,0,0,0,0
1045,6934.0,7167.0,7341.0,6575.0,6678.0,7509.0,6664.0,6742.0,6452.0,6592.0
1046,5209.0,4833.0,4461.0,4348.0,3627.0,3434.0,3465.0,2977.0,2422.0,2661.0
1047,13934.0,14953.0,13996.0,13700.0,10542.0,7162.0,12238.0,11975.0,13413.0,10342.0
1051,1040.0,1014.0,1031.0,986.0,970.0,952.0,954.0,932.0,910.0,896.0
1052,1158.0,1132.0,1120.0,1085.0,1066.0,1087.0,1030.0,1006.0,996.0,994.0
1053,1196.0,1142.0,1131.0,1088.0,1090.0,1067.0,1028.0,1024.0,1008.0,1009.0
1054,1537.0,1512.0,1501.0,1450.0,1409.0,1416.0,1365.0,1339.0,1325.0,1318.0
1055,1186.0,1158.0,1137.0,1115.0,1093.0,1074.0,1042.0,1006.0,999.0,1013.0
1056,1228.0,1185.0,1181.0,1170.0,1141.0,1137.0,1073.0,1055.0,1039.0,1035.0
1057,1174.0,1138.0,1130.0,1114.0,1084.0,1075.0,1035.0,1010.0,992.0,1003.0
1058,1275.0,1231.0,1223.0,1197.0,1168.0,1159.0,1116.0,1091.0,1067.0,1065.0
1059,1410.0,1409.0,1387.0,1348.0,1322.0,1304.0,1268.0,1252.0,1273.0,1283.0
1060,1360.0,1334.0,1321.0,1289.0,1260.0,1265.0,1255.0,1254.0,1219.0,1196.0
1061,1365.0,1320.0,1314.0,1276.0,1274.0,1238.0,1192.0,1156.0,1126.0,1120.0
1062,1105.0,1064.0,1050.0,1037.0,1012.0,1006.0,995.0,994.0,976.0,967.0
