POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1011,0.0,0.0,0.0,1.0,1.0,17.0,22.0,27.0,30.0,33.0
1012,0.0,0.0,0.0,0.0,0.0,4.0,7.0,10.0,10.0,12.0
1013,0.0,2.0,5.0,8.0,10.0,35.0,36.0,58.0,52.0,57.0
1014,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,21.0,22.0
1015,1.0,2.0,2.0,4.0,10.0,20.0,23.0,28.0,28.0,35.0
1016,0.0,0.0,0.0,2.0,2.0,6.0,6.0,12.0,14.0,21.0
1017,1.0,1.0,2.0,2.0,6.0,24.0,32.0,38.0,43.0,48.0
1018,4.0,5.0,6.0,7.0,12.0,40.0,50.0,78.0,87.0,95.0
1019,4.0,5.0,12.0,19.0,34.0,87.0,107.0,151.0,183.0,215.0
1021,0.0,0.0,2.0,3.0,5.0,11.0,14.0,19.0,20.0,24.0
1022,0.0,0.0,0.0,2.0,5.0,15.0,22.0,42.0,69.0,111.0
1023,2.0,3.0,4.0,8.0,11.0,28.0,33.0,38.0,49.0,71.0
1024,0.0,0.0,1.0,1.0,3.0,13.0,22.0,31.0,37.0,99.0
1025,1.0,5.0,9.0,12.0,26.0,67.0,80.0,96.0,110.0,139.0
1026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0
1027,0.0,0.0,1.0,1.0,2.0,9.0,9.0,12.0,18.0,23.0
1028,1.0,1.0,1.0,2.0,3.0,9.0,11.0,12.0,17.0,22.0
1031,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,10.0,15.0
1032,0.0,0.0,0.0,1.0,2.0,3.0,9.0,16.0,25.0,47.0
1033,2.0,4.0,8.0,10.0,12.0,33.0,44.0,63.0,74.0,93.0
1034,9.0,9.0,12.0,13.0,21.0,47.0,70.0,94.0,121.0,142.0
1035,4.0,10.0,12.0,21.0,38.0,103.0,127.0,158.0,191.0,357.0
1036,1.0,2.0,2.0,5.0,7.0,21.0,33.0,41.0,48.0,64.0
1037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0
1041,0.0,0.0,1.0,3.0,3.0,6.0,6.0,6.0,7.0,7.0
1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1043,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0
1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1046,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,6.0
1047,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,4.0
1051,0.0,2.0,16.0,20.0,25.0,62.0,64.0,65.0,78.0,83.0
1052,1.0,4.0,7.0,9.0,12.0,39.0,42.0,46.0,50.0,52.0
1053,2.0,2.0,4.0,8.0,8.0,20.0,24.0,45.0,51.0,59.0
1054,0.0,1.0,3.0,7.0,10.0,28.0,36.0,48.0,56.0,66.0
1055,0.0,1.0,3.0,8.0,11.0,50.0,69.0,92.0,105.0,106.0
1056,0.0,1.0,2.0,4.0,6.0,16.0,20.0,31.0,51.0,56.0
1057,0.0,2.0,3.0,6.0,11.0,24.0,30.0,37.0,38.0,41.0
1058,0.0,1.0,3.0,8.0,10.0,29.0,41.0,73.0,81.0,83.0
1059,0.0,0.0,0.0,3.0,8.0,20.0,21.0,25.0,28.0,31.0
1060,2.0,6.0,14.0,17.0,24.0,93.0,125.0,157.0,189.0,209.0
1061,0.0,0.0,1.0,2.0,14.0,25.0,29.0,186.0,215.0,256.0
1062,0.0,1.0,1.0,1.0,1.0,2.0,158.0,197.0,249.0,374.0
1063,0.0,1.0,1.0,2.0,3.0,10.0,18.0,30.0,37.0,184.0
1064,3.0,3.0,6.0,9.0,15.0,52.0,83.0,106.0,123.0,187.0
