POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1011,12047.0,12093.0,12192.0,12445.0,12781.0,12818.0,12954.0,13046.0,13156.0,13299.0
1012,13738.0,13862.0,14090.0,14286.0,14498.0,14658.0,14909.0,15185.0,15482.0,15797.0
1013,25560.0,26318.0,27208.0,27505.0,27703.0,27704.0,27778.0,28083.0,27994.0,28198.0
1014,570.0,596.0,619.0,630.0,650.0,564.0,760.0,763.0,783.0,1432.0
1015,21804.0,21901.0,22007.0,22162.0,22302.0,22382.0,22517.0,22648.0,22769.0,22847.0
1016,17006.0,17161.0,17324.0,17431.0,17613.0,17677.0,17799.0,18074.0,18247.0,18484.0
1017,19029.0,19223.0,19411.0,19567.0,19745.0,19860.0,20023.0,20211.0,20385.0,20592.0
1018,24385.0,24634.0,25247.0,25820.0,25926.0,25909.0,26150.0,26695.0,27017.0,27103.0
1019,14868.0,14906.0,14958.0,15207.0,15485.0,15403.0,15492.0,15799.0,15821.0,16029.0
1021,7517.0,7546.0,7568.0,7577.0,7585.0,7559.0,7571.0,7580.0,7837.0,7841.0
1022,1879.0,2008.0,2081.0,2188.0,2234.0,2326.0,2616.0,2692.0,2950.0,2928.0
1023,4845.0,4853.0,4868.0,4882.0,4892.0,4850.0,4853.0,4853.0,4859.0,4845.0
1024,12369.0,12384.0,12404.0,12578.0,12826.0,13005.0,13014.0,13161.0,13171.0,13229.0
1025,14157.0,14362.0,14549.0,14570.0,14598.0,14534.0,14543.0,14550.0,14555.0,14550.0
1026,492.0,500.0,508.0,510.0,518.0,458.0,458.0,460.0,462.0,461.0
1027,377.0,379.0,374.0,380.0,384.0,370.0,376.0,378.0,374.0,421.0
1028,547.0,550.0,568.0,576.0,578.0,527.0,529.0,535.0,555.0,541.0
1031,5832.0,6134.0,6314.0,6546.0,6628.0,6652.0,6773.0,6937.0,7616.0,7654.0
1032,5752.0,5806.0,5872.0,5902.0,5949.0,5937.0,5958.0,6213.0,6324.0,6368.0
1033,11877.0,11922.0,11964.0,11996.0,12047.0,11998.0,12035.0,12052.0,12462.0,12782.0
1034,12111.0,12275.0,12302.0,12735.0,13000.0,12940.0,13051.0,13119.0,13125.0,13147.0
1035,8813.0,8861.0,8870.0,8894.0,8940.0,8812.0,8811.0,8931.0,8952.0,8951.0
1036,615.0,651.0,657.0,659.0,729.0,751.0,793.0,883.0,969.0,992.0
1037,144.0,145.0,146.0,146.0,147.0,141.0,141.0,139.0,140.0,113.0
1041,214.0,218.0,219.0,231.0,231.0,221.0,225.0,230.0,233.0,237.0
1042,378.0,380.0,380.0,387.0,387.0,379.0,381.0,381.0,381.0,383.0
1043,498.0,526.0,512.0,527.0,543.0,539.0,567.0,595.0,624.0,896.0
1045,218.0,238.0,198.0,201.0,204.0,186.0,191.0,192.0,192.0,198.0
1046,766.0,858.0,876.0,944.0,1000.0,1041.0,1050.0,1117.0,1100.0,1166.0
