POSTCODE,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1011,6454.0,6451.0,6465.0,6513.0,6752.0,6694.0,6683.0,6705.0,6728.0,6778.0
1012,7109.0,7120.0,7178.0,7188.0,7215.0,7153.0,7210.0,7235.0,7286.0,7431.0
1013,12994.0,13217.0,13258.0,13418.0,13575.0,13497.0,13468.0,13637.0,13427.0,13547.0
1014,315.0,349.0,328.0,335.0,340.0,275.0,450.0,466.0,481.0,549.0
1015,11047.0,11093.0,11057.0,11116.0,11144.0,11102.0,11096.0,11154.0,11154.0,11194.0
1016,8709.0,8715.0,8746.0,8785.0,8798.0,8804.0,8796.0,8968.0,8966.0,9049.0
1017,9672.0,9678.0,9720.0,9757.0,9778.0,9742.0,9777.0,9812.0,9880.0,9931.0
1018,12159.0,12008.0,12106.0,12318.0,12373.0,12208.0,12145.0,12156.0,12467.0,12478.0
1019,9439.0,9456.0,9484.0,9498.0,9765.0,9655.0,9670.0,9666.0,9841.0,9970.0
1021,3796.0,3801.0,3798.0,3815.0,3822.0,3795.0,3792.0,3797.0,3930.0,3932.0
1022,936.0,963.0,1020.0,1086.0,1114.0,1149.0,1355.0,1401.0,1534.0,1536.0
1023,2480.0,2481.0,2483.0,2492.0,2496.0,2452.0,2455.0,2456.0,2461.0,2463.0
1024,6277.0,5752.0,5705.0,5869.0,6096.0,6015.0,5978.0,6114.0,6123.0,6104.0
1025,7365.0,7585.0,7651.0,7608.0,7608.0,7534.0,7513.0,7505.0,7513.0,7516.0
1026,271.0,272.0,272.0,277.0,280.0,220.0,222.0,222.0,222.0,221.0
1027,216.0,218.0,209.0,214.0,214.0,203.0,201.0,203.0,202.0,229.0
1028,318.0,316.0,326.0,332.0,331.0,276.0,278.0,278.0,296.0,290.0
1031,2889.0,3065.0,3121.0,3121.0,3269.0,3246.0,3339.0,3385.0,3519.0,3762.0
1032,2861.0,2849.0,2844.0,2826.0,2810.0,2786.0,2795.0,2944.0,3108.0,3119.0
1033,5876.0,5903.0,5907.0,5926.0,5945.0,5878.0,5891.0,5902.0,6293.0,6297.0
1034,5925.0,5798.0,5792.0,6104.0,6459.0,6374.0,6460.0,6557.0,6578.0,6591.0
1035,4475.0,4490.0,4504.0,4525.0,4546.0,4436.0,4443.0,4498.0,4537.0,4550.0
1036,312.0,321.0,321.0,325.0,396.0,422.0,474.0,542.0,595.0,686.0
1037,77.0,78.0,78.0,78.0,78.0,73.0,72.0,70.0,70.0,57.0
1041,109.0,110.0,110.0,112.0,112.0,94.0,93.0,91.0,86.0,87.0
1042,184.0,179.0,177.0,178.0,175.0,157.0,154.0,148.0,148.0,148.0
1043,258.0,267.0,224.0,217.0,222.0,184.0,185.0,200.0,215.0,469.0
1045,112.0,123.0,99.0,98.0,101.0,78.0,81.0,82.0,82.0,80.0
1046,369.0,405.0,413.0,438.0,466.0,474.0,470.0,503.0,503.0,536.0
1047,179.0,184.0,191.0,187.0,189.0,155.0,154.0,151.0,155.0,159.0
1051,8415.0,8231.0,8375.0,8414.0,8339.0,8335.0,8522.0,8529.0,8536.0,8540.0
1052,7944.0,7879.0,8013.0,7974.0,7995.0,8026.0,8062.0,8082.0,8107.0,8109.0
1053,11125.0,11089.0,11085.0,11041.0,11120.0,11096.0,11100.0,11361.0,11307.0,11474.0
1054,10606.0,10570.0,10595.0,10678.0,10819.0,10785.0,10795.0,11005.0,11062.0,11233.0
1055,11015.0,11163.0,11141.0,11098.0,11289.0,11047.0,11120.0,11291.0,11413.0,11524.0
1056,10853.0,10847.0,10918.0,10930.0,10946.0,10842.0,10831.0,10849.0,10895.0,10916.0
1057,10015.0,10055.0,10071.0,10318.0,10341.0,10255.0,10248.0,10276.0,10353.0,10368.0
1058,8529.0,8753.0,9089.0,9095.0,9092.0,9076.0,9072.0,9104.0,9167.0,9193.0
1059,3700.0,3728.0,3743.0,3739.0,3749.0,3719.0,3707.0,3725.0,3747.0,3815.0
1060,3796.0,3803.0,3818.0,3826.0,3837.0,3797.0,3803.0,3808.0,3813.0,3813.0
1061,4445.0,4670.0,4651.0,4909.0,5165.0,5481.0,5482.0,5602.0,5706.0,5906.0
1062,3966.0,4209.0,4036.0,4138.0,4124.0,4212.0,4112.0,4335.0,5030.0,5799.0
1063,6065.0,6147.0,6069.0,6126.0,6119.0,6138.0,6145.0,6118.0,6073.0,6038.0
1064,7816.0,7923.0,7866.0,7865.0,7897.0,7897.0,7890.0,7895.0,7896.0,8071.0
1065,5413.0,5463.0,5487.0,5487.0,5481.0,5414.0,5379.0,5443.0,5598.0,5597.0
1066,7638.0,7692.0,7996.0,8025.0,7774.0,7590.0,7861.0,7577.0,7720.0,7973.0
1067,7427.0,7479.0,7705.0,7712.0,7734.0,7658.0,7721.0,7760.0,7805.0,7765.0
1068,8274.0,8501.0,8484.0,8487.0,8644.0,8598.0,8488.0,8454.0,8618.0,8550.0
1069,10476.0,10774.0,10931.0,10949.0,10988.0,10920.0,10990.0,11126.0,11130.0,11132.0
1071,7830.0,7800.0,7780.0,7742.0,7738.0,7671.0,7649.0,7676.0,7736.0,7761.0
1072,10059.0,9934.0,9964.0,9997.0,9966.0,9996.0,9999.0,10008.0,10105.0,10147.0
